time,x,rho,u,p,T,energy
0.474736,0.055,0.0795057,1,10000,347.931,314444
0.474736,0.065,0.0795867,1,10000,347.577,314123
0.474736,0.075,0.0796686,1,10000,347.22,313801
0.474736,0.085,0.0797512,1,10000,346.86,313475
0.474736,0.095,0.0798347,1,10000,346.497,313147
0.474736,0.105,0.079919,1,10000,346.132,312817
0.474736,0.115,0.0800042,1,10000,345.763,312484
0.474736,0.125,0.0800901,1,10000,345.392,312149
0.474736,0.135,0.080177,1,10000,345.018,311811
0.474736,0.145,0.0802646,1,10000,344.641,311470
0.474736,0.155,0.0803531,1,10000,344.262,311127
0.474736,0.165,0.0804425,1,10000,343.879,310781
0.474736,0.175,0.0805328,1,10000,343.494,310433
0.474736,0.185,0.0806239,1,10000,343.106,310082
0.474736,0.195,0.080716,1,10000,342.714,309729
0.474736,0.205,0.0808089,1,10000,342.32,309372
0.474736,0.215,0.0809027,1,10000,341.923,309014
0.474736,0.225,0.0809974,1,10000,341.523,308652
0.474736,0.235,0.0810931,1,10000,341.12,308288
0.474736,0.245,0.0811897,1,10000,340.715,307921
0.474736,0.255,0.0812872,1,10000,340.306,307552
0.474736,0.265,0.0813857,1,10000,339.894,307180
0.474736,0.275,0.0814851,1,10000,339.479,306805
0.474736,0.285,0.0815855,1,10000,339.062,306427
0.474736,0.295,0.0816869,1,10000,338.641,306047
0.474736,0.305,0.0817892,1,10000,338.217,305664
0.474736,0.315,0.0818926,1,10000,337.79,305279
0.474736,0.325,0.0819969,1,10000,337.361,304890
0.474736,0.335,0.0821022,1,10000,336.928,304499
0.474736,0.345,0.0822086,1,10000,336.492,304105
0.474736,0.355,0.082316,1,10000,336.053,303708
0.474736,0.365,0.0824245,1,10000,335.611,303309
0.474736,0.375,0.082534,1,10000,335.165,302906
0.474736,0.385,0.0826445,1,10000,334.717,302501
0.474736,0.395,0.0827561,1,10000,334.265,302093
0.474736,0.405,0.0828689,1,10000,333.811,301682
0.474736,0.415,0.0829827,1,10000,333.353,301268
0.474736,0.425,0.0830976,1,10000,332.892,300852
0.474736,0.435,0.0832136,1,10000,332.428,300432
0.474736,0.445,0.0833308,1,10000,331.96,300010
0.474736,0.455,0.0834491,1,10000,331.49,299584
0.474736,0.465,0.0835686,1,10000,331.016,299156
0.474736,0.475,0.0836892,1,10000,330.538,298725
0.474736,0.485,0.0838111,1,10000,330.058,298290
0.474736,0.495,0.0839341,1,10000,329.574,297853
0.474736,0.505,0.0840583,1,10000,329.087,297413
0.474736,0.515,0.0841838,1,10000,328.597,296970
0.474736,0.525,0.0843105,1,10000,328.103,296524
0.474736,0.535,0.0844384,1,10000,327.606,296074
0.474736,0.545,0.0845676,1,10000,327.105,295622
0.474736,0.555,0.0846981,1,10000,326.601,295166
0.474736,0.565,0.0848299,1,10000,326.094,294708
0.474736,0.575,0.084963,1,10000,325.583,294246
0.474736,0.585,0.0850974,1,10000,325.069,293781
0.474736,0.595,0.0852332,1,10000,324.551,293313
0.474736,0.605,0.0853704,1,10000,324.03,292842
0.474736,0.615,0.0855089,1,10000,323.505,292368
0.474736,0.625,0.0856488,1,10000,322.976,291890
0.474736,0.635,0.0857901,1,10000,322.444,291409
0.474736,0.645,0.0859329,1,10000,321.909,290925
0.474736,0.655,0.0860771,1,10000,321.369,290438
0.474736,0.665,0.0862227,1,10000,320.826,289947
0.474736,0.675,0.0863699,1,10000,320.28,289453
0.474736,0.685,0.0865185,1,10000,319.729,288956
0.474736,0.695,0.0866687,1,10000,319.175,288455
0.474736,0.705,0.0868205,1,10000,318.617,287951
0.474736,0.715,0.0869738,1,10000,318.056,287444
0.474736,0.725,0.0871286,1,10000,317.491,286933
0.474736,0.735,0.0872851,1,10000,316.921,286418
0.474736,0.745,0.0874433,1,10000,316.348,285900
0.474736,0.755,0.087603,1,10000,315.771,285379
0.474736,0.765,0.0877645,1,10000,315.19,284854
0.474736,0.775,0.0879276,1,10000,314.606,284325
0.474736,0.785,0.0880925,1,10000,314.017,283793
0.474736,0.795,0.0882591,1,10000,313.424,283257
0.474736,0.805,0.0884275,1,10000,312.827,282718
0.474736,0.815,0.0885977,1,10000,312.226,282175
0.474736,0.825,0.0887697,1,10000,311.621,281628
0.474736,0.835,0.0889435,1,10000,311.012,281078
0.474736,0.845,0.0891192,1,10000,310.399,280524
0.474736,0.855,0.0892968,1,10000,309.782,279966
0.474736,0.865,0.0894764,1,10000,309.16,279404
0.474736,0.875,0.0896578,1,10000,308.534,278838
0.474736,0.885,0.0898413,1,10000,307.904,278269
0.474736,0.895,0.0900268,1,10000,307.27,277696
0.474736,0.905,0.0902143,1,10000,306.631,277118
0.474736,0.915,0.0904039,1,10000,305.988,276537
0.474736,0.925,0.0905956,1,10000,305.341,275952
0.474736,0.935,0.0907894,1,10000,304.689,275363
0.474736,0.945,0.0909853,1,10000,304.033,274770
0.474736,0.955,0.0911835,1,10000,303.372,274173
0.474736,0.965,0.0913839,1,10000,302.707,273572
0.474736,0.975,0.0915866,1,10000,302.037,272966
0.474736,0.985,0.0917915,1,10000,301.363,272357
0.474736,0.995,0.0919988,1,10000,300.684,271743
0.711887,0.005,0.0791117,1,10000,349.664,316009
0.711887,0.015,0.0791885,1,10000,349.325,315703
0.711887,0.025,0.079266,1,10000,348.983,315394
0.711887,0.035,0.0793443,1,10000,348.639,315083
0.711887,0.045,0.0794233,1,10000,348.292,314770
0.711887,0.055,0.0795032,1,10000,347.942,314453
0.711887,0.065,0.0795838,1,10000,347.59,314135
0.711887,0.075,0.0796652,1,10000,347.235,313814
0.711887,0.085,0.0797475,1,10000,346.876,313490
0.711887,0.095,0.0798305,1,10000,346.516,313164
0.711887,0.105,0.0799144,1,10000,346.152,312835
0.711887,0.115,0.0799991,1,10000,345.785,312504
0.711887,0.125,0.0800847,1,10000,345.416,312170
0.711887,0.135,0.080171,1,10000,345.044,311834
0.711887,0.145,0.0802583,1,10000,344.669,311495
0.711887,0.155,0.0803464,1,10000,344.291,311153
0.711887,0.165,0.0804353,1,10000,343.91,310809
0.711887,0.175,0.0805252,1,10000,343.526,310462
0.711887,0.185,0.0806159,1,10000,343.14,310113
0.711887,0.195,0.0807075,1,10000,342.75,309761
0.711887,0.205,0.0808,1,10000,342.358,309406
0.711887,0.215,0.0808935,1,10000,341.962,309049
0.711887,0.225,0.0809878,1,10000,341.564,308689
0.711887,0.235,0.0810831,1,10000,341.163,308326
0.711887,0.245,0.0811793,1,10000,340.758,307961
0.711887,0.255,0.0812764,1,10000,340.351,307593
